iter	RMSE
0	305.4238528
1	300.8819893
2	296.6590822
3	292.5352394
4	288.505229
5	284.9027884
6	281.2944516
7	277.6546642
8	274.1959571
9	270.9632382
10	267.7707021
11	264.7827406
12	261.9557305
13	259.1801819
14	256.5874281
15	254.1288633
16	251.7065235
17	249.5483121
18	247.4749727
19	245.4430077
20	243.4579865
21	241.6046272
22	239.6827048
23	238.0350287
24	236.4288155
25	234.8222469
26	233.3091598
27	231.8890329
28	230.4557646
29	229.1365117
30	227.7489191
31	226.4534036
32	225.2770465
33	224.0826768
34	223.0332648
35	221.996975
36	221.0553544
37	220.0429328
38	219.1291331
39	218.1447496
40	217.340761
41	216.5898887
42	215.8128092
43	215.0919479
44	214.3222482
45	213.6577615
46	213.0137528
47	212.2440565
48	211.5612541
49	210.9828669
50	210.3675795
51	209.8566433
52	209.3353719
53	208.7874316
54	208.1788274
55	207.7192261
56	207.2623121
57	206.7224944
58	206.2492313
59	205.8674409
60	205.4686676
61	205.0703965
62	204.6303334
63	204.2009503
64	203.779887
65	203.3792896
66	203.0046143
67	202.6570961
68	202.3502738
69	202.0869036
70	201.7919394
71	201.4231859
72	201.1155802
73	200.8291096
74	200.5774225
75	200.2553431
76	199.9690647
77	199.6810583
78	199.3810914
79	199.1051128
80	198.7962959
81	198.5007027
82	198.1951473
83	198.0060248
84	197.7689215
85	197.5593521
86	197.2598214
87	197.0558444
88	196.7962141
89	196.6007702
90	196.4176971
91	196.1614113
92	195.93987
93	195.7795178
94	195.5737932
95	195.3258119
96	195.1399947
97	194.94417
98	194.7816996
99	194.5772148
100	194.4430925
101	194.2829651
102	194.0726019
103	193.9224608
104	193.772765
105	193.6094754
106	193.4188042
107	193.273932
108	193.1422457
109	192.9898154
110	192.7666807
111	192.6177102
112	192.4206778
113	192.3127171
114	192.1796967
115	192.0182303
116	191.9119442
117	191.7468436
118	191.6632985
119	191.5260433
120	191.4159141
121	191.2981967
122	191.2098257
123	190.9917635
124	190.870062
125	190.742716
126	190.6056753
127	190.5243146
128	190.3763904
129	190.1820842
130	190.0629423
131	189.9579365
132	189.8251112
133	189.6597642
134	189.5743343
135	189.48816
136	189.405675
137	189.2695246
138	189.169685
139	189.0496186
140	188.9005354
141	188.7589792
142	188.6787284
143	188.5775943
144	188.4133822
145	188.2424818
146	188.1551934
147	188.0496019
148	187.9417405
149	187.8179744
150	187.6928945
151	187.5746513
152	187.4907875
153	187.4268301
154	187.3363822
155	187.2031542
156	187.1003344
157	187.0259144
158	186.9897477
159	186.8995859
160	186.7644957
161	186.6640204
162	186.5488423
163	186.4615466
164	186.387921
165	186.31802
166	186.2482605
167	186.1262754
168	185.9867975
169	185.8929946
170	185.8318207
171	185.7462095
172	185.6080665
173	185.5278729
174	185.4414321
175	185.3891233
176	185.2859166
177	185.2025899
178	185.0930047
179	184.9840466
180	184.8959159
181	184.8253291
182	184.737375
183	184.6417228
184	184.5650832
185	184.4681608
186	184.3915029
187	184.2235879
188	184.0552365
189	183.9356984
190	183.8354862
191	183.7632428
192	183.6947023
193	183.6168749
194	183.5249264
195	183.4733852
196	183.3686828
197	183.2947139
198	183.242701
199	183.180632
200	183.0985847
201	182.9700994
202	182.9226166
203	182.8335025
204	182.7114289
205	182.6507939
206	182.5370607
207	182.4640783
208	182.3714012
209	182.28752
210	182.2495851
211	182.1453132
212	182.1083926
213	182.0373519
214	181.9205647
215	181.783408
216	181.7263608
217	181.6262914
218	181.5738787
219	181.512234
220	181.439393
221	181.3369647
222	181.2639162
223	181.194643
224	181.0947428
225	181.0331845
226	180.9576815
227	180.9050796
228	180.8559279
229	180.8208282
230	180.7417922
231	180.6279681
232	180.5738142
233	180.5352296
234	180.4841636
235	180.4166075
236	180.3741527
237	180.3332929
238	180.2929564
239	180.2196289
240	180.1894527
241	180.1554848
242	180.0955397
243	180.0296758
244	179.8904548
245	179.8149203
246	179.769169
247	179.7051732
248	179.6642079
249	179.5712244
250	179.4978819
251	179.4390232
252	179.3485397
253	179.2715903
254	179.1651492
255	179.0728891
256	179.0337231
257	178.9857325
258	178.8940583
259	178.8448279
260	178.7980341
261	178.736231
262	178.6766212
263	178.5734351
264	178.5222062
265	178.4770964
266	178.4304159
267	178.3507096
268	178.2765017
269	178.2197918
270	178.1768821
271	178.108109
272	178.0554873
273	177.9771358
274	177.8872156
275	177.8235561
276	177.7202592
277	177.6783826
278	177.6191678
279	177.572926
280	177.5368203
281	177.4916102
282	177.3986158
283	177.3460822
284	177.2918683
285	177.2564605
286	177.1537367
287	177.0667416
288	176.985582
289	176.9229074
290	176.8561982
291	176.7406634
292	176.6807839
293	176.6347686
294	176.6012286
295	176.5296254
296	176.4489967
297	176.4023552
298	176.3124203
299	176.2348181
300	176.1921508
301	176.1416187
302	176.0814407
303	175.9995991
304	175.9601472
305	175.8931976
306	175.8483805
307	175.7393489
308	175.6832904
309	175.6350462
310	175.5480155
311	175.5182122
312	175.4305309
313	175.3681217
314	175.2947213
315	175.2543249
316	175.2251781
317	175.1310403
318	175.0462407
319	174.9846608
320	174.9422783
321	174.9012224
322	174.8399009
323	174.8040246
324	174.7699078
325	174.6983833
326	174.6591282
327	174.5839497
328	174.5405389
329	174.5045111
330	174.4686692
331	174.4011034
332	174.3624754
333	174.3196507
334	174.2593016
335	174.180838
336	174.136818
337	174.0759505
338	174.0064537
339	173.9210315
340	173.8847806
341	173.7857476
342	173.6700315
343	173.6191446
344	173.5560407
345	173.4993392
346	173.4591815
347	173.3756814
348	173.3003724
349	173.2620696
350	173.1806044
351	173.0956854
352	173.0224208
353	172.9776498
354	172.9094601
355	172.880105
356	172.8052293
357	172.7428593
358	172.7014491
359	172.6207751
360	172.578722
361	172.5425929
362	172.4920788
363	172.4219516
364	172.3667473
365	172.3248147
366	172.2783117
367	172.2075752
368	172.1668344
369	172.1042524
370	172.0374441
371	171.9683485
372	171.9432855
373	171.8721217
374	171.8288809
375	171.7285325
376	171.662316
377	171.6193868
378	171.5848607
379	171.5305393
380	171.4924982
381	171.4480771
382	171.4053729
383	171.3699484
384	171.2773796
385	171.2411918
386	171.1977498
387	171.163685
