Plant Name,Scientific Name,Category,Min Radiation (W/m²),Max Radiation (W/m²),Normal Radiation Care,Low Radiation Care,High Radiation Care
Coconut,Cocos nucifera,Tree,350,700,"1. Maintain soil moisture with regular watering; 2. Ensure 7-9m spacing between palms; 3. Apply organic manure twice yearly; 4. Remove dead fronds; 5. Monitor for pest infestations","1. Increase irrigation to twice weekly; 2. Add 10cm thick organic mulch; 3. Apply balanced NPK fertilizer; 4. Prune surrounding vegetation for better light; 5. Monitor leaf yellowing","1. Provide 30% shade netting for young palms; 2. Increase irrigation frequency to daily; 3. Apply white wash on trunk; 4. Maintain soil moisture with deep watering; 5. Add mulch to retain moisture"
Teak,Tectona grandis,Tree,600,1000,"1. Water deeply once weekly; 2. Maintain 6m spacing; 3. Annual pruning of lower branches; 4. Regular weeding; 5. Monitor for defoliation","1. Increase organic mulch to 15cm; 2. Reduce watering frequency; 3. Prune for better light penetration; 4. Apply balanced fertilizer; 5. Monitor for fungal growth","1. Prune weak or damaged branches; 2. Increase irrigation depth; 3. Apply antitranspirant spray; 4. Maintain mulch cover; 5. Monitor for sun scorch"
Neem,Azadirachta indica,Tree,500,900,"Thrives in sunlight, drought-tolerant",Minimal watering needed,No extra care required
Jackfruit,Artocarpus heterophyllus,Tree,350,700,"Partial shade when young","Increase organic matter","Protect young plants from direct sun"
Mango,Mangifera indica,Tree,400,800,"Full sun, proper spacing","Increase irrigation frequency","Protect young fruits from sunburn"
Rubber,Hevea brasiliensis,Tree,350,650,"Maintain canopy management, regular tapping","Increase organic matter in soil","Protect young plants with temporary shade"
Arecanut,Areca catechu,Tree,300,600,"Regular irrigation, maintain spacing","STRUGGLES: Slow growth, reduced yield","Provide temporary shade for young palms"
Mahogany,Swietenia macrophylla,Tree,500,900,"Thrives in full sunlight, drought-resistant",Apply mulch,Deep root watering needed
Rain Tree,Albizia saman,Tree,500,900,"Thrives in open areas, deep watering",Mulch base to retain moisture,Prune weak branches
Indian Laurel,Terminalia elliptica,Tree,600,1000,"Requires full sun, occasional watering",Provide extra mulch,Shade young saplings
Nutmeg,Myristica fragrans,Tree,250,500,"Maintain 40-50% shade, regular irrigation","Increase shade coverage","Enhance soil moisture retention"
Cacao,Theobroma cacao,Tree,200,450,"Maintain 50-60% shade, high humidity","Increase shade coverage","Maintain high humidity"
Himalayan Cedar,Cedrus deodara,Tree,600,900,"Needs high altitude","Cannot survive in low elevations","Requires cool mountain air, unsuitable for Kerala"
Pine,Pinus roxburghii,Tree,700,1000,"Requires mountain conditions","Not suitable for low altitudes","Needs cool climate, unsuitable for Kerala plains"
Banana,Musa spp.,Fruit,400,750,"Regular irrigation, proper spacing","STRUGGLES: Slow bunch development","Protect from strong winds, increase irrigation"
Papaya,Carica papaya,Fruit,600,1000,"Requires full sun, regular watering",Increase soil nutrients,Prune excess foliage
Guava,Psidium guajava,Fruit,500,900,"Moderate watering, full sun",Protect from excess moisture,Apply organic mulch
Pineapple,Ananas comosus,Fruit,450,850,"Well-drained soil, full sun","Increase organic mulch","Provide temporary shade in peak summer"
Apple,Malus domestica,Fruit,800,1200,"Requires cold climate and high radiation","Not suitable for low light conditions","Requires winter dormancy, unsuitable for Kerala"
Blueberry,Vaccinium corymbosum,Fruit,300,500,"Requires acidic soil and cool climate","STRUGGLES: Poor fruit development","Not suitable for Kerala's temperature"
Strawberry,Fragaria × ananassa,Fruit,400,600,"Needs cool temperatures","Difficult in tropical climate","Challenging in Kerala's heat"
Tomato,Solanum lycopersicum,Vegetable,500,900,"1. Provide support stakes; 2. Water deeply twice weekly; 3. Remove suckers; 4. Feed every 2 weeks; 5. Monitor for pests","1. Supplement with grow lights; 2. Reduce watering frequency; 3. Increase spacing between plants; 4. Apply balanced fertilizer; 5. Monitor for stem weakness","1. Install 30% shade net; 2. Increase watering frequency; 3. Mulch soil surface; 4. Provide afternoon shade; 5. Monitor fruit development"
Chilli,Capsicum annuum,Vegetable,500,900,"Prefers warm temperatures","STRUGGLES: Poor pod development","Mulch base"
Brinjal,Solanum melongena,Vegetable,500,850,Regular watering needed,Increase moisture,Protect from extreme heat
Cucumber,Cucumis sativus,Vegetable,400,800,Prefers humidity,Increase watering,Provide shading
Carrot,Daucus carota,Vegetable,500,850,"Requires sandy soil, regular watering",Increase moisture,Protect from direct sunlight
Cabbage,Brassica oleracea,Vegetable,500,900,"Requires cool climate, deep watering",Increase soil moisture,Provide partial shading
