timestamp,temperature,humidity,wind_speed,precipitation,solar_radiation,cloud_coverage
2024010100,19.16,97.66,0.93,0.0,0.0,89
2024010101,18.78,98.54,0.84,0.0,0.0,89
2024010102,18.41,99.1,0.79,0.0,0.0,89
2024010103,18.07,99.51,0.83,0.0,0.0,89
2024010104,17.86,99.56,0.87,0.0,0.0,89
2024010105,17.68,99.74,0.87,0.0,0.0,89
2024010106,18.09,97.14,1.08,0.0,22.8,89
2024010107,19.93,88.9,1.91,0.0,147.88,89
2024010108,22.09,79.43,2.2,0.0,314.67,89
2024010109,23.99,72.97,2.16,0.0,438.98,89
2024010110,25.55,68.13,1.97,0.0,463.9,89
2024010111,26.74,64.07,1.73,0.0,572.45,89
2024010112,27.51,61.32,1.46,0.0,665.92,89
2024010113,27.86,60.01,1.16,0.0,553.35,89
2024010114,27.75,60.41,0.92,0.0,425.27,89
2024010115,27.31,63.34,0.74,0.0,271.48,89
2024010116,26.55,69.84,0.62,0.0,117.88,89
2024010117,24.88,77.26,0.5,0.0,12.75,89
2024010118,23.56,81.31,0.57,0.0,0.0,89
2024010119,22.62,85.04,0.59,0.0,0.0,89
2024010120,21.94,87.53,0.58,0.0,0.0,89
2024010121,21.35,90.1,0.59,0.0,0.0,89
2024010122,20.82,92.32,0.65,0.0,0.0,89
2024010123,20.43,94.09,0.75,0.0,0.0,89
2024010200,20.06,95.52,0.83,0.0,0.0,89
2024010201,19.79,96.42,0.9,0.0,0.0,89
2024010202,19.53,97.21,0.9,0.0,0.0,89
2024010203,19.33,97.42,0.94,0.0,0.0,89
2024010204,19.2,97.36,0.99,0.0,0.0,89
2024010205,19.12,97.09,1.07,0.0,0.0,89
2024010206,19.37,95.45,1.37,0.0,17.8,89
2024010207,20.46,90.04,2.11,0.0,133.27,89
2024010208,21.83,83.1,2.43,0.54,316.35,89
2024010209,23.34,76.98,2.38,0.34,460.25,89
2024010210,24.68,72.22,2.25,0.27,606.55,89
2024010211,25.57,69.07,2.03,0.5,695.78,89
2024010212,26.12,67.54,1.81,1.6,663.42,89
2024010213,26.35,67.39,1.59,2.23,609.53,89
2024010214,26.33,68.18,1.38,2.51,495.35,89
2024010215,25.99,71.97,1.05,3.47,311.05,89
2024010216,25.17,77.51,0.89,4.52,125.5,89
2024010217,23.55,87.68,0.5,5.25,14.27,89
2024010218,22.69,88.68,0.56,5.06,0.0,89
2024010219,22.18,89.8,0.59,3.61,0.0,89
2024010220,21.68,91.05,0.64,1.9,0.0,89
2024010221,21.21,92.4,0.73,1.06,0.0,89
2024010222,20.7,93.89,0.78,1.21,0.0,89
2024010223,20.3,95.25,0.79,1.38,0.0,89
2024010300,20.0,96.33,0.76,1.47,0.0,89
2024010301,19.65,97.33,0.72,1.96,0.0,89
2024010302,19.36,97.79,0.76,2.13,0.0,89
2024010303,19.09,98.23,0.75,2.54,0.0,89
2024010304,18.89,98.42,0.76,2.98,0.0,89
2024010305,18.75,98.39,0.78,3.25,0.0,89
2024010306,18.98,97.62,0.96,3.19,18.33,89
2024010307,20.0,94.8,1.67,2.48,125.22,89
2024010308,21.39,89.01,2.07,0.6,318.35,89
2024010309,23.16,80.01,2.12,0.56,468.52,89
2024010310,24.76,73.3,1.92,0.51,571.4,89
2024010311,25.93,69.65,1.62,0.62,607.45,89
2024010312,26.69,67.5,1.34,0.92,517.5,89
2024010313,26.99,66.66,1.08,1.39,436.45,89
2024010314,26.88,67.3,0.91,1.97,341.6,89
2024010315,26.36,70.87,0.75,2.29,212.62,89
2024010316,25.54,77.39,0.58,3.4,93.53,89
2024010317,24.18,84.78,0.44,3.52,15.27,89
2024010318,23.39,85.28,0.51,3.34,0.0,89
2024010319,22.76,87.21,0.59,2.6,0.0,89
2024010320,22.09,89.63,0.63,2.68,0.0,89
2024010321,21.5,91.76,0.63,2.69,0.0,89
2024010322,21.05,93.83,0.64,3.07,0.0,89
2024010323,20.71,95.55,0.7,3.22,0.0,89
2024010400,20.41,96.72,0.68,2.91,0.0,89
2024010401,20.14,97.53,0.66,3.24,0.0,89
2024010402,19.92,98.11,0.64,2.59,0.0,89
2024010403,19.81,98.4,0.62,2.12,0.0,89
2024010404,19.76,98.42,0.66,2.03,0.0,89
2024010405,19.69,98.39,0.68,2.16,0.0,89
2024010406,20.06,97.9,0.88,2.51,22.9,89
2024010407,21.2,95.76,1.61,2.57,111.95,89
2024010408,22.48,91.38,1.92,3.63,229.9,89
2024010409,23.76,84.22,1.99,4.72,363.38,89
2024010410,25.0,78.19,1.84,6.64,564.53,89
2024010411,25.89,74.57,1.58,7.75,657.67,89
2024010412,26.48,72.58,1.27,8.6,652.0,89
2024010413,26.68,71.92,0.93,10.42,544.45,89
2024010414,26.37,73.81,0.7,9.54,391.0,89
2024010415,25.77,78.01,0.61,9.78,251.55,89
2024010416,24.99,84.29,0.48,11.12,112.47,89
2024010417,23.8,91.59,0.32,11.57,13.2,89
2024010418,23.12,93.43,0.3,12.6,0.0,89
2024010419,22.78,94.05,0.4,14.66,0.0,89
2024010420,22.45,95.16,0.51,16.26,0.0,89
2024010421,22.17,95.73,0.58,18.59,0.0,89
2024010422,21.93,96.32,0.62,20.22,0.0,89
2024010423,21.7,96.78,0.64,20.84,0.0,89
2024010500,21.48,97.22,0.7,22.23,0.0,89
2024010501,21.26,97.64,0.76,23.76,0.0,89
2024010502,21.06,97.96,0.8,23.37,0.0,89
2024010503,20.89,98.07,0.86,21.59,0.0,89
2024010504,20.73,98.23,0.94,19.75,0.0,89
2024010505,20.6,98.16,1.03,14.99,0.0,89
2024010506,20.66,97.78,1.25,9.51,21.5,89
2024010507,21.45,96.27,1.88,5.31,141.23,89
2024010508,22.59,92.22,2.24,0.96,304.23,89
2024010509,24.28,82.1,2.19,0.69,424.2,89
2024010510,25.77,74.64,1.89,0.81,480.33,89
2024010511,26.6,71.56,1.46,1.54,497.17,89
2024010512,26.98,70.78,1.01,3.33,505.77,89
2024010513,27.06,71.08,0.62,5.15,427.2,89
2024010514,26.95,72.43,0.45,4.57,329.15,89
2024010515,26.47,75.49,0.44,4.94,221.88,89
2024010516,25.75,81.81,0.36,5.22,106.47,89
2024010517,24.48,89.71,0.33,6.79,17.5,89
2024010518,23.66,92.01,0.43,8.93,0.0,89
2024010519,23.14,93.49,0.54,10.44,0.0,89
