timestamp,temperature,humidity,wind_speed,precipitation,solar_radiation,cloud_coverage
2024010100,28.3,74.41,0.57,0.04,0.0,77
2024010101,28.06,75.57,0.76,0.05,0.0,77
2024010102,27.86,76.46,0.94,0.07,0.0,77
2024010103,27.72,77.13,1.16,0.11,0.0,77
2024010104,27.62,77.87,1.44,0.14,0.0,77
2024010105,27.5,78.91,1.73,2.47,0.0,77
2024010106,27.51,79.46,1.8,2.51,21.62,77
2024010107,27.93,76.13,1.65,2.64,105.45,77
2024010108,28.18,73.89,1.12,2.51,230.43,77
2024010109,28.41,73.11,0.69,2.58,375.73,77
2024010110,28.7,72.46,0.94,2.76,593.28,77
2024010111,28.97,72.02,1.68,2.71,668.25,77
2024010112,29.19,71.62,2.44,2.75,591.65,77
2024010113,29.26,71.27,2.99,2.64,570.05,77
2024010114,29.18,71.32,3.19,2.68,389.52,77
2024010115,29.03,71.63,3.1,2.86,243.2,77
2024010116,28.82,72.61,2.9,3.07,109.35,77
2024010117,28.47,75.49,2.49,2.88,14.12,77
2024010118,28.24,78.05,1.89,1.97,0.0,77
2024010119,28.2,77.95,1.25,0.92,0.0,77
2024010120,28.22,77.13,0.75,0.44,0.0,77
2024010121,28.25,76.29,0.72,0.25,0.0,77
2024010122,28.19,76.56,1.05,0.35,0.0,77
2024010123,28.09,76.97,1.45,0.38,0.0,77
2024010200,27.98,77.33,1.79,0.27,0.0,77
2024010201,27.84,77.74,2.03,0.34,0.0,77
2024010202,27.65,78.44,2.33,0.45,0.0,77
2024010203,27.45,78.97,2.66,0.54,0.0,77
2024010204,27.27,78.94,2.93,0.49,0.0,77
2024010205,27.15,78.39,2.96,0.65,0.0,77
2024010206,27.11,77.66,2.84,0.57,19.42,77
2024010207,27.58,73.37,3.04,0.55,166.05,77
2024010208,28.04,69.2,2.99,1.36,366.35,77
2024010209,28.68,66.03,2.43,0.96,552.03,77
2024010210,29.46,62.33,1.51,0.75,796.05,77
2024010211,30.01,60.87,0.55,0.85,794.53,77
2024010212,30.37,60.62,0.29,1.41,790.1,77
2024010213,30.56,60.93,0.88,1.9,783.97,77
2024010214,30.59,61.41,1.27,2.06,595.95,77
2024010215,30.49,62.19,1.5,2.16,397.45,77
2024010216,30.24,63.81,1.63,3.01,183.15,77
2024010217,29.74,68.68,1.55,3.38,19.65,77
2024010218,29.36,73.16,1.35,3.42,0.0,77
2024010219,29.16,74.62,1.13,3.37,0.0,77
2024010220,29.02,75.38,0.89,4.25,0.0,77
2024010221,28.83,75.8,0.73,4.24,0.0,77
2024010222,28.64,75.88,0.82,5.59,0.0,77
2024010223,28.39,76.5,1.13,6.09,0.0,77
2024010300,28.07,77.51,1.41,5.57,0.0,77
2024010301,27.76,78.58,1.56,7.63,0.0,77
2024010302,27.46,79.67,1.61,8.5,0.0,77
2024010303,27.24,80.23,1.57,8.14,0.0,77
2024010304,27.1,80.19,1.56,8.5,0.0,77
2024010305,26.99,79.88,1.64,6.6,0.0,77
2024010306,26.98,79.37,1.72,5.98,23.12,77
2024010307,27.43,74.59,1.97,5.27,148.43,77
2024010308,27.82,71.75,1.8,1.36,352.65,77
2024010309,28.29,70.31,1.3,1.1,549.5,77
2024010310,28.81,69.5,1.07,0.92,693.15,77
2024010311,29.29,68.78,1.35,0.88,792.67,77
2024010312,29.55,68.26,1.74,1.13,728.95,77
2024010313,29.68,67.83,2.18,1.35,542.05,77
2024010314,29.66,67.91,2.57,1.43,476.25,77
2024010315,29.52,68.49,2.85,1.54,311.17,77
2024010316,29.26,69.74,2.87,1.73,146.85,77
2024010317,28.78,73.63,2.71,1.92,17.45,77
2024010318,28.35,77.85,2.38,1.79,0.0,77
2024010319,28.14,79.37,2.14,1.71,0.0,77
2024010320,28.02,79.8,1.77,1.91,0.0,77
2024010321,27.94,79.76,1.39,2.01,0.0,77
2024010322,27.83,80.01,1.05,2.36,0.0,77
2024010323,27.72,80.45,0.77,2.82,0.0,77
2024010400,27.6,80.76,0.57,2.78,0.0,77
2024010401,27.47,80.98,0.47,2.7,0.0,77
2024010402,27.36,80.98,0.56,2.3,0.0,77
2024010403,27.25,81.15,0.83,1.79,0.0,77
2024010404,27.2,81.02,1.12,1.68,0.0,77
2024010405,27.17,80.82,1.39,1.54,0.0,77
2024010406,27.23,80.68,1.57,1.58,24.98,77
2024010407,27.74,77.26,1.92,1.56,161.5,77
2024010408,28.19,74.02,1.8,7.68,361.15,77
2024010409,28.58,72.01,1.31,7.84,525.22,77
2024010410,29.06,69.49,0.69,7.17,668.55,77
2024010411,29.52,67.79,0.21,8.29,715.03,77
2024010412,29.73,67.28,0.68,8.36,610.55,77
2024010413,29.8,67.18,1.14,8.54,441.75,77
2024010414,29.67,67.77,1.49,7.87,402.95,77
2024010415,29.45,68.9,1.67,7.43,245.45,77
2024010416,29.19,70.16,1.66,6.95,117.28,77
2024010417,28.85,72.56,1.56,6.56,14.52,77
2024010418,28.55,76.32,1.41,6.67,0.0,77
2024010419,28.39,78.36,1.48,6.78,0.0,77
2024010420,28.26,79.65,1.7,6.98,0.0,77
2024010421,28.12,80.73,1.95,8.82,0.0,77
2024010422,27.93,81.94,2.14,10.94,0.0,77
2024010423,27.73,83.3,2.31,13.18,0.0,77
2024010500,27.54,84.53,2.37,16.45,0.0,77
2024010501,27.32,85.79,2.36,21.02,0.0,77
2024010502,27.16,86.69,2.45,23.34,0.0,77
2024010503,27.07,87.13,2.74,20.83,0.0,77
2024010504,27.04,86.91,3.07,18.92,0.0,77
2024010505,27.02,86.34,3.37,16.0,0.0,77
2024010506,27.11,85.22,3.7,11.83,17.58,77
2024010507,27.7,80.94,4.42,7.87,118.9,77
2024010508,28.23,77.54,4.36,3.27,241.27,77
2024010509,28.79,74.11,3.8,2.05,340.98,77
2024010510,29.28,71.01,3.03,1.28,458.73,77
2024010511,29.61,68.96,2.49,1.21,510.38,77
2024010512,29.77,68.11,2.41,1.79,522.0,77
2024010513,29.79,67.93,2.6,2.33,515.67,77
2024010514,29.76,67.82,2.77,2.1,427.75,77
2024010515,29.75,67.72,2.9,2.37,279.75,77
2024010516,29.68,68.05,2.88,2.18,125.15,77
2024010517,29.36,71.71,2.63,2.87,18.88,77
2024010518,29.08,75.42,2.52,3.66,0.0,77
