timestamp,temperature,humidity,wind_speed,precipitation,solar_radiation,cloud_coverage
2024010100,24.23,82.48,1.46,0.13,0.0,28
2024010101,23.74,84.84,1.69,0.19,0.0,28
2024010102,23.35,86.23,1.96,0.21,0.0,28
2024010103,23.17,86.34,2.37,0.39,0.0,28
2024010104,22.96,86.76,2.67,0.51,0.0,28
2024010105,22.71,87.41,2.8,2.04,0.0,28
2024010106,22.78,86.71,3.06,2.31,22.8,28
2024010107,23.69,83.39,3.46,2.36,147.88,28
2024010108,25.23,77.98,3.57,2.33,314.67,28
2024010109,26.71,72.84,3.58,2.14,438.98,28
2024010110,27.94,69.28,3.17,1.91,463.9,28
2024010111,28.86,66.55,2.5,1.83,572.45,28
2024010112,29.44,64.55,1.78,1.71,665.92,28
2024010113,29.7,63.44,1.08,1.67,553.35,28
2024010114,29.63,63.93,0.47,1.53,425.27,28
2024010115,29.59,65.14,0.14,1.32,271.48,28
2024010116,29.23,65.21,0.45,0.94,117.88,28
2024010117,27.91,73.63,0.71,0.69,12.75,28
2024010118,27.08,75.72,0.9,0.35,0.0,28
2024010119,26.72,76.94,0.89,0.07,0.0,28
2024010120,26.63,76.43,0.66,0.01,0.0,28
2024010121,26.24,78.07,0.38,0.01,0.0,28
2024010122,25.69,80.48,0.4,0.01,0.0,28
2024010123,25.12,82.67,0.72,0.02,0.0,28
2024010200,24.58,84.42,1.02,0.02,0.0,28
2024010201,24.15,85.84,1.36,0.04,0.0,28
2024010202,23.86,86.82,1.77,0.08,0.0,28
2024010203,23.65,87.65,2.12,0.11,0.0,28
2024010204,23.42,88.41,2.39,0.19,0.0,28
2024010205,23.23,88.7,2.63,0.3,0.0,28
2024010206,23.29,87.9,2.86,0.38,17.8,28
2024010207,24.16,84.0,3.37,0.39,133.27,28
2024010208,25.39,78.97,3.63,2.21,316.35,28
2024010209,26.71,73.95,3.51,1.1,460.25,28
2024010210,27.86,70.12,3.1,0.78,606.55,28
2024010211,28.66,67.4,2.63,0.9,695.78,28
2024010212,29.14,65.83,2.17,2.32,663.42,28
2024010213,29.36,65.63,1.71,2.89,609.53,28
2024010214,29.48,65.75,1.31,3.22,495.35,28
2024010215,29.47,66.82,0.9,3.81,311.05,28
2024010216,28.94,68.56,0.69,4.37,125.5,28
2024010217,27.63,75.31,0.24,4.53,14.27,28
2024010218,27.03,75.24,0.13,4.32,0.0,28
2024010219,26.72,75.6,0.07,4.01,0.0,28
2024010220,26.41,76.02,0.11,4.37,0.0,28
2024010221,26.1,77.05,0.28,4.26,0.0,28
2024010222,25.7,78.15,0.52,5.51,0.0,28
2024010223,25.1,80.75,0.85,6.73,0.0,28
2024010300,24.49,84.42,1.18,7.27,0.0,28
2024010301,23.92,88.05,1.44,11.41,0.0,28
2024010302,23.51,89.73,1.73,13.34,0.0,28
2024010303,23.2,90.61,1.94,16.71,0.0,28
2024010304,22.97,91.08,2.08,20.17,0.0,28
2024010305,22.8,91.3,2.2,21.67,0.0,28
2024010306,22.83,91.05,2.42,20.15,18.33,28
2024010307,23.49,89.42,2.91,14.96,125.22,28
2024010308,24.55,86.47,3.1,1.71,318.35,28
2024010309,26.02,79.55,3.12,1.14,468.52,28
2024010310,27.45,72.78,2.73,0.89,571.4,28
2024010311,28.44,69.27,2.16,0.72,607.45,28
2024010312,29.02,67.88,1.64,0.78,517.5,28
2024010313,29.3,67.22,1.12,0.89,436.45,28
2024010314,29.33,67.32,0.68,1.03,341.6,28
2024010315,29.11,68.92,0.28,1.23,212.62,28
2024010316,28.73,71.7,0.03,1.61,93.53,28
2024010317,27.76,75.94,0.14,1.52,15.27,28
2024010318,27.18,76.66,0.3,1.28,0.0,28
2024010319,26.95,76.66,0.38,0.95,0.0,28
2024010320,26.72,77.02,0.34,0.94,0.0,28
2024010321,26.42,78.03,0.26,1.15,0.0,28
2024010322,25.88,80.89,0.15,1.7,0.0,28
2024010323,25.39,83.5,0.0,2.44,0.0,28
2024010400,24.99,85.53,0.22,2.58,0.0,28
2024010401,24.68,86.52,0.52,3.42,0.0,28
2024010402,24.25,88.37,0.84,3.63,0.0,28
2024010403,23.92,90.09,1.14,3.64,0.0,28
2024010404,23.69,91.33,1.42,3.61,0.0,28
2024010405,23.55,91.89,1.65,3.61,0.0,28
2024010406,23.75,91.72,1.95,3.66,22.9,28
2024010407,24.75,89.08,2.6,3.51,111.95,28
2024010408,26.19,84.16,2.61,13.68,229.9,28
