timestamp,temperature,humidity,wind_speed,precipitation,solar_radiation,cloud_coverage
2024010100,18.56,99.91,0.16,0.0,0.0,94
2024010101,18.38,99.36,0.13,0.0,0.0,94
2024010102,18.37,97.63,0.11,0.0,0.0,94
2024010103,18.31,96.32,0.13,0.0,0.0,94
2024010104,18.17,95.95,0.14,0.0,0.0,94
2024010105,18.04,95.67,0.15,0.0,0.0,94
2024010106,18.11,94.7,0.21,0.0,22.8,94
2024010107,19.27,88.95,0.35,0.0,147.88,94
2024010108,21.26,80.41,0.38,0.0,314.67,94
2024010109,23.38,73.04,0.35,0.0,438.98,94
2024010110,25.19,67.14,0.25,0.0,463.9,94
2024010111,26.43,62.39,0.1,0.0,572.45,94
2024010112,27.1,59.74,0.04,0.0,665.92,94
2024010113,27.26,59.37,0.15,0.0,553.35,94
2024010114,26.89,61.55,0.22,0.0,425.27,94
2024010115,26.15,67.47,0.24,0.0,271.48,94
2024010116,25.3,78.14,0.24,0.0,117.88,94
2024010117,24.15,83.76,0.25,0.0,12.75,94
2024010118,22.8,91.57,0.25,0.0,0.0,94
2024010119,22.01,94.05,0.24,0.0,0.0,94
2024010120,21.47,95.05,0.19,0.0,0.0,94
2024010121,21.07,95.64,0.17,0.0,0.0,94
2024010122,20.79,95.75,0.18,0.0,0.0,94
2024010123,20.54,95.98,0.19,0.0,0.0,94
2024010200,20.28,95.8,0.2,0.0,0.0,94
2024010201,20.13,94.87,0.22,0.0,0.0,94
2024010202,19.86,94.58,0.23,0.0,0.0,94
2024010203,19.56,94.67,0.25,0.0,0.0,94
2024010204,19.32,93.68,0.29,0.0,0.0,94
2024010205,19.05,93.71,0.31,0.0,0.0,94
2024010206,19.0,93.26,0.36,0.0,17.8,94
2024010207,19.77,89.42,0.5,0.0,133.27,94
2024010208,21.08,83.29,0.55,0.55,316.35,94
2024010209,22.66,76.93,0.51,0.3,460.25,94
2024010210,24.12,71.64,0.38,0.28,606.55,94
2024010211,25.16,68.2,0.25,0.5,695.78,94
2024010212,25.76,66.81,0.16,1.43,663.42,94
2024010213,26.0,66.98,0.13,2.01,609.53,94
2024010214,25.84,68.74,0.12,2.36,495.35,94
2024010215,25.3,74.44,0.1,3.62,311.05,94
2024010216,24.55,82.97,0.07,5.4,125.5,94
2024010217,23.5,89.5,0.05,6.56,14.27,94
2024010218,22.58,90.73,0.11,6.08,0.0,94
2024010219,21.96,91.79,0.13,4.03,0.0,94
2024010220,21.44,92.95,0.1,2.08,0.0,94
2024010221,21.02,94.06,0.12,1.29,0.0,94
2024010222,20.57,95.02,0.14,1.53,0.0,94
2024010223,20.24,96.05,0.14,1.74,0.0,94
2024010300,20.03,96.86,0.13,1.86,0.0,94
2024010301,19.75,97.46,0.14,2.42,0.0,94
2024010302,19.47,97.51,0.16,2.55,0.0,94
2024010303,19.2,97.65,0.17,2.67,0.0,94
2024010304,18.98,97.57,0.2,2.79,0.0,94
2024010305,18.79,97.32,0.22,2.54,0.0,94
2024010306,18.73,96.81,0.28,2.14,18.33,94
2024010307,19.34,94.46,0.39,1.56,125.22,94
2024010308,20.65,88.24,0.4,0.44,318.35,94
2024010309,22.61,78.47,0.31,0.41,468.52,94
2024010310,24.32,72.19,0.17,0.41,571.4,94
2024010311,25.59,68.65,0.08,0.51,607.45,94
2024010312,26.37,66.89,0.15,0.87,517.5,94
2024010313,26.53,66.82,0.23,1.57,436.45,94
2024010314,26.18,69.04,0.29,2.26,341.6,94
2024010315,25.47,74.66,0.3,2.38,212.62,94
2024010316,24.63,83.49,0.26,3.53,93.53,94
2024010317,23.64,90.21,0.26,3.83,15.27,94
2024010318,23.08,89.28,0.16,4.02,0.0,94
2024010319,22.66,89.52,0.09,3.47,0.0,94
2024010320,21.99,92.29,0.25,3.58,0.0,94
2024010321,21.43,94.48,0.25,3.49,0.0,94
2024010322,21.05,95.92,0.22,3.7,0.0,94
2024010323,20.76,96.72,0.21,3.58,0.0,94
2024010400,20.5,97.44,0.22,3.0,0.0,94
2024010401,20.29,97.6,0.24,2.72,0.0,94
2024010402,20.04,98.01,0.23,1.73,0.0,94
2024010403,19.88,98.35,0.18,1.16,0.0,94
2024010404,19.75,98.49,0.17,1.05,0.0,94
2024010405,19.66,98.4,0.18,1.08,0.0,94
2024010406,19.73,98.17,0.22,1.24,22.9,94
2024010407,20.48,96.62,0.33,1.43,111.95,94
2024010408,21.7,92.31,0.31,3.08,229.9,94
2024010409,23.15,83.44,0.27,3.8,363.38,94
2024010410,24.48,76.83,0.18,5.03,564.53,94
2024010411,25.29,73.9,0.04,6.75,657.67,94
2024010412,25.66,72.89,0.08,7.9,652.0,94
2024010413,25.65,72.96,0.21,10.37,544.45,94
2024010414,25.15,76.73,0.28,10.44,391.0,94
2024010415,24.51,82.62,0.29,12.44,251.55,94
2024010416,23.84,89.07,0.24,14.61,112.47,94
2024010417,23.14,94.47,0.25,15.27,13.2,94
2024010418,22.74,95.21,0.26,16.55,0.0,94
2024010419,22.49,95.28,0.18,18.32,0.0,94
2024010420,22.21,96.24,0.14,19.26,0.0,94
2024010421,22.07,95.95,0.13,22.28,0.0,94
2024010422,21.92,95.91,0.1,23.7,0.0,94
2024010423,21.7,96.08,0.1,22.63,0.0,94
2024010500,21.39,96.77,0.14,20.72,0.0,94
2024010501,21.07,97.74,0.14,21.29,0.0,94
2024010502,20.83,98.37,0.1,19.81,0.0,94
2024010503,20.63,98.62,0.09,17.2,0.0,94
2024010504,20.45,98.78,0.15,15.54,0.0,94
2024010505,20.28,98.91,0.24,11.04,0.0,94
2024010506,20.22,98.78,0.33,6.81,21.5,94
2024010507,20.85,97.71,0.51,4.06,141.23,94
2024010508,21.8,94.26,0.56,0.88,304.23,94
2024010509,23.54,81.89,0.49,0.7,424.2,94
2024010510,25.26,72.75,0.35,0.78,480.33,94
2024010511,26.06,69.79,0.21,1.24,497.17,94
2024010512,26.27,69.85,0.22,2.68,505.77,94
2024010513,26.16,71.44,0.3,4.55,427.2,94
2024010514,25.73,75.03,0.33,4.34,329.15,94
2024010515,25.11,79.95,0.32,5.41,221.88,94
2024010516,24.32,86.92,0.25,5.68,106.47,94
2024010517,23.49,93.8,0.22,7.77,17.5,94
2024010518,22.93,95.32,0.26,10.11,0.0,94
2024010519,22.51,96.35,0.27,11.29,0.0,94
2024010520,22.23,96.79,0.28,10.25,0.0,94
2024010521,22.02,96.82,0.28,8.49,0.0,94
2024010522,21.77,97.21,0.23,6.56,0.0,94
2024010523,21.56,97.52,0.22,6.15,0.0,94
2024010600,21.19,98.06,0.21,7.04,0.0,94
2024010601,20.79,98.4,0.23,7.04,0.0,94
2024010602,20.37,98.39,0.26,6.36,0.0,94
2024010603,19.99,98.46,0.29,5.57,0.0,94
2024010604,19.69,98.55,0.31,4.53,0.0,94
2024010605,19.44,98.47,0.3,3.79,0.0,94
