timestamp,temperature,humidity,wind_speed,precipitation,solar_radiation,cloud_coverage
2024010100,21.96,93.75,1.14,0.0,0.0,78
2024010101,21.56,94.43,1.12,0.0,0.0,78
2024010102,21.21,94.88,1.09,0.0,0.0,78
2024010103,20.91,95.13,1.1,0.0,0.0,78
2024010104,20.68,95.2,1.12,0.0,0.0,78
2024010105,20.5,95.04,1.11,0.07,0.0,78
2024010106,20.86,93.31,1.28,0.08,21.62,78
2024010107,22.27,87.5,1.72,0.13,105.45,78
2024010108,24.09,80.06,1.94,0.12,230.43,78
2024010109,25.61,74.2,2.04,0.17,375.73,78
2024010110,26.89,70.55,1.87,0.27,593.28,78
2024010111,27.84,68.12,1.55,0.27,668.25,78
2024010112,28.4,66.51,1.18,0.36,591.65,78
2024010113,28.58,66.15,0.83,0.36,570.05,78
2024010114,28.39,67.65,0.61,0.41,389.52,78
2024010115,28.11,70.97,0.47,0.47,243.2,78
2024010116,27.59,74.31,0.38,0.59,109.35,78
2024010117,26.21,82.05,0.31,0.67,14.12,78
2024010118,25.17,85.43,0.45,0.59,0.0,78
2024010119,24.53,85.53,0.55,0.33,0.0,78
2024010120,24.12,86.4,0.71,0.14,0.0,78
2024010121,23.89,86.5,0.83,0.05,0.0,78
2024010122,23.55,88.64,0.88,0.05,0.0,78
2024010123,23.24,90.66,0.99,0.05,0.0,78
2024010200,23.01,92.21,1.11,0.03,0.0,78
2024010201,22.8,93.21,1.25,0.03,0.0,78
2024010202,22.66,93.06,1.51,0.03,0.0,78
2024010203,22.57,92.71,1.69,0.02,0.0,78
2024010204,22.44,92.32,1.82,0.02,0.0,78
2024010205,22.23,91.86,1.76,0.02,0.0,78
2024010206,22.35,90.68,1.87,0.01,19.42,78
2024010207,23.19,86.96,2.34,0.0,166.05,78
2024010208,24.37,82.63,2.55,0.02,366.35,78
2024010209,25.64,78.03,2.58,0.02,552.03,78
2024010210,26.71,74.43,2.47,0.03,796.05,78
2024010211,27.52,71.98,2.28,0.04,794.53,78
2024010212,28.07,70.45,2.08,0.04,790.1,78
2024010213,28.41,69.55,1.89,0.07,783.97,78
2024010214,28.47,69.72,1.71,0.07,595.95,78
2024010215,28.11,72.74,1.5,0.14,397.45,78
2024010216,27.49,78.07,1.26,0.31,183.15,78
2024010217,26.12,85.5,0.86,0.31,19.65,78
2024010218,25.17,88.44,0.87,0.23,0.0,78
2024010219,24.73,89.73,0.95,0.15,0.0,78
2024010220,24.27,91.46,1.03,0.09,0.0,78
2024010221,23.85,92.89,1.14,0.08,0.0,78
2024010222,23.47,93.82,1.25,0.1,0.0,78
2024010223,23.16,94.28,1.35,0.12,0.0,78
2024010300,22.87,94.49,1.47,0.11,0.0,78
2024010301,22.61,94.5,1.56,0.13,0.0,78
2024010302,22.36,94.54,1.54,0.13,0.0,78
2024010303,22.14,94.36,1.5,0.1,0.0,78
2024010304,21.94,94.15,1.46,0.1,0.0,78
2024010305,21.76,93.89,1.44,0.07,0.0,78
2024010306,21.98,92.49,1.58,0.06,23.12,78
2024010307,22.99,88.23,2.04,0.04,148.43,78
2024010308,24.35,82.2,2.28,0.0,352.65,78
2024010309,25.7,76.87,2.29,0.0,549.5,78
2024010310,26.88,73.1,2.1,0.0,693.15,78
2024010311,27.88,70.53,1.83,0.01,792.67,78
2024010312,28.56,69.03,1.5,0.08,728.95,78
2024010313,28.87,68.58,1.19,0.19,542.05,78
2024010314,28.81,69.09,0.93,0.3,476.25,78
2024010315,28.47,71.58,0.74,0.36,311.17,78
2024010316,27.92,76.89,0.59,0.44,146.85,78
2024010317,26.71,83.38,0.49,0.55,17.45,78
2024010318,25.69,87.32,0.52,0.66,0.0,78
2024010319,25.05,88.84,0.55,0.77,0.0,78
2024010320,24.67,89.72,0.64,0.91,0.0,78
2024010321,24.36,90.15,0.76,0.94,0.0,78
2024010322,23.99,91.43,0.88,1.0,0.0,78
2024010323,23.64,92.87,0.88,1.02,0.0,78
2024010400,23.32,93.98,0.87,1.04,0.0,78
2024010401,23.06,94.41,0.97,0.9,0.0,78
2024010402,22.83,94.79,1.03,0.59,0.0,78
2024010403,22.67,94.92,1.09,0.35,0.0,78
2024010404,22.52,95.08,1.15,0.24,0.0,78
