timestamp,temperature,humidity,wind_speed,precipitation,solar_radiation,cloud_coverage
2024010100,20.55,95.87,0.33,0.0,0.0,22
2024010101,20.23,97.01,0.26,0.0,0.0,22
2024010102,20.16,96.48,0.2,0.0,0.0,22
2024010103,20.22,95.11,0.22,0.0,0.0,22
2024010104,20.16,94.61,0.24,0.0,0.0,22
2024010105,20.08,94.24,0.25,0.02,0.0,22
2024010106,20.23,93.07,0.28,0.02,29.65,22
2024010107,21.34,87.32,0.37,0.04,158.7,22
2024010108,23.05,79.61,0.37,0.04,337.33,22
2024010109,24.77,73.79,0.33,0.05,503.8,22
2024010110,26.4,69.1,0.21,0.08,625.25,22
2024010111,27.45,65.72,0.08,0.08,639.03,22
2024010112,27.98,64.08,0.16,0.1,611.6,22
2024010113,28.03,64.43,0.29,0.09,510.92,22
2024010114,27.66,66.96,0.35,0.09,413.73,22
2024010115,26.98,72.84,0.35,0.11,262.4,22
2024010116,26.21,79.68,0.35,0.15,112.1,22
2024010117,25.04,87.28,0.31,0.19,11.0,22
2024010118,24.06,92.22,0.23,0.17,0.0,22
2024010119,23.54,92.81,0.19,0.1,0.0,22
2024010120,23.12,93.13,0.17,0.04,0.0,22
2024010121,22.86,92.91,0.22,0.02,0.0,22
2024010122,22.57,93.46,0.27,0.02,0.0,22
2024010123,22.37,93.55,0.34,0.01,0.0,22
2024010200,22.21,93.22,0.39,0.01,0.0,22
2024010201,21.97,93.2,0.42,0.01,0.0,22
2024010202,21.73,92.95,0.49,0.01,0.0,22
2024010203,21.52,92.54,0.54,0.01,0.0,22
2024010204,21.39,90.38,0.61,0.0,0.0,22
2024010205,21.07,90.45,0.6,0.0,0.0,22
2024010206,20.96,90.07,0.62,0.0,21.6,22
2024010207,21.7,86.27,0.79,0.0,153.5,22
2024010208,23.03,80.36,0.84,0.22,293.58,22
2024010209,24.52,74.77,0.77,0.18,450.3,22
2024010210,25.88,70.17,0.62,0.17,621.15,22
2024010211,26.88,67.3,0.44,0.23,617.3,22
2024010212,27.56,65.75,0.3,0.36,600.05,22
2024010213,27.92,65.33,0.19,0.49,592.75,22
2024010214,27.84,66.94,0.12,0.67,488.25,22
2024010215,27.36,72.34,0.03,1.48,288.92,22
2024010216,26.69,79.91,0.08,3.05,154.32,22
2024010217,25.66,85.86,0.11,3.87,13.25,22
2024010218,24.73,87.51,0.25,3.31,0.0,22
2024010219,24.11,89.28,0.32,1.91,0.0,22
2024010220,23.5,91.45,0.36,0.98,0.0,22
2024010221,22.93,93.13,0.38,0.76,0.0,22
