timestamp,temperature,humidity,wind_speed,precipitation,solar_radiation,cloud_coverage
2024010100,26.62,79.17,0.85,0.12,0.0,7
2024010101,26.17,80.96,0.98,0.16,0.0,7
2024010102,25.78,82.05,1.1,0.18,0.0,7
2024010103,25.48,82.6,1.21,0.35,0.0,7
2024010104,25.21,83.29,1.31,0.45,0.0,7
2024010105,24.95,84.06,1.42,2.61,0.0,7
2024010106,24.94,83.67,1.63,2.89,21.62,7
2024010107,25.62,79.95,2.01,3.07,105.45,7
2024010108,26.71,75.47,1.95,3.04,230.43,7
2024010109,27.84,71.65,1.67,2.94,375.73,7
2024010110,28.88,68.64,1.1,2.85,593.28,7
2024010111,29.7,66.04,0.38,2.78,668.25,7
2024010112,30.14,64.4,0.59,2.55,591.65,7
2024010113,30.21,63.93,1.24,2.32,570.05,7
2024010114,29.94,65.04,1.59,2.12,389.52,7
2024010115,29.73,66.78,1.69,1.95,243.2,7
2024010116,29.34,67.82,1.77,1.73,109.35,7
2024010117,28.22,75.72,1.66,1.4,14.12,7
2024010118,27.45,79.3,1.5,0.73,0.0,7
2024010119,27.15,80.71,1.27,0.22,0.0,7
2024010120,27.03,81.18,1.04,0.07,0.0,7
2024010121,27.07,80.23,0.87,0.05,0.0,7
2024010122,27.11,79.39,0.8,0.06,0.0,7
2024010123,26.86,80.57,0.86,0.1,0.0,7
2024010200,26.5,81.93,0.95,0.08,0.0,7
2024010201,26.31,82.66,1.09,0.14,0.0,7
2024010202,26.16,83.25,1.31,0.23,0.0,7
2024010203,25.96,83.85,1.54,0.32,0.0,7
2024010204,25.71,84.17,1.8,0.37,0.0,7
2024010205,25.45,84.11,1.97,0.55,0.0,7
2024010206,25.39,83.07,2.1,0.58,19.42,7
2024010207,25.93,78.72,2.51,0.6,166.05,7
2024010208,26.69,74.41,2.59,2.6,366.35,7
2024010209,27.74,70.14,2.22,1.49,552.03,7
2024010210,28.81,66.01,1.52,1.11,796.05,7
2024010211,29.57,63.39,0.79,1.16,794.53,7
2024010212,30.03,62.23,0.43,2.26,790.1,7
2024010213,30.25,62.31,0.77,2.72,783.97,7
2024010214,30.31,62.61,1.06,3.07,595.95,7
2024010215,30.43,62.72,1.19,3.31,397.45,7
2024010216,30.14,63.87,1.24,3.97,183.15,7
2024010217,29.35,68.54,1.28,4.36,19.65,7
2024010218,28.91,69.85,1.32,4.31,0.0,7
2024010219,28.71,70.32,1.23,4.23,0.0,7
2024010220,28.56,70.43,0.99,5.3,0.0,7
2024010221,28.41,71.38,0.69,5.47,0.0,7
2024010222,28.11,72.23,0.37,7.68,0.0,7
2024010223,27.47,75.15,0.08,9.04,0.0,7
2024010300,26.76,79.57,0.3,9.06,0.0,7
2024010301,26.12,83.65,0.54,13.61,0.0,7
2024010302,25.66,85.68,0.76,15.43,0.0,7
2024010303,25.34,86.61,0.94,17.15,0.0,7
2024010304,25.08,87.11,1.12,18.65,0.0,7
2024010305,24.88,87.22,1.28,17.33,0.0,7
